"date","close","volume","open","high","low"
"2018/06/29","80.1700","980912.0000","80.8300","81.3500","80.1000"
"2018/06/28","80.4800","597341.0000","79.6200","80.6300","79.3100"
"2018/06/27","79.8900","670221.0000","81.8100","82.3200","79.8800"
"2018/06/26","81.7200","858131.0000","80.4300","82.1150","79.8600"
"2018/06/25","80.3600","979261.0000","81.7000","81.9700","79.4114"
"2018/06/22","82.0500","1580911.0000","82.8300","82.9400","81.4600"
"2018/06/21","82.2300","681134.0000","83.8300","83.8300","82.0900"
"2018/06/20","83.4600","872635.0000","84.3000","84.4900","83.1900"
"2018/06/19","83.5100","1037230.0000","84.7300","85.2150","82.8300"
"2018/06/18","85.7900","2090330.0000","85.0100","86.5000","84.2200"
"2018/06/15","85.1200","2785200.0000","83.6700","85.2400","82.8700"
"2018/06/14","83.6500","2588112.0000","80.8400","83.9600","80.5000"
"2018/06/13","80.4000","1176605.0000","81.0100","81.5000","80.0200"
"2018/06/12","80.7300","916428.0000","79.8400","81.2400","79.5450"
"2018/06/11","79.8300","595814.0000","79.9900","80.3000","79.6400"
"2018/06/08","80.1600","1676817.0000","79.0900","80.9800","78.4200"
"2018/06/07","81.0400","1684506.0000","79.9500","82.1100","79.5200"
"2018/06/06","80.0900","2314782.0000","81.4100","81.7200","79.1600"
"2018/06/05","81.7200","730950.0000","81.9700","82.2500","81.2400"
"2018/06/04","81.6900","794580.0000","82.0000","82.0000","80.9175"
"2018/06/01","81.8100","1218477.0000","80.6300","82.0000","80.3000"
"2018/05/31","80.2500","1109586.0000","80.8100","81.5400","80.0200"
"2018/05/30","80.9300","1136432.0000","79.9100","81.0400","79.6500"
"2018/05/29","79.9400","1582577.0000","80.8600","81.0500","78.9800"
"2018/05/25","81.4900","1066520.0000","81.4800","82.0847","81.2700"
"2018/05/24","81.2300","1345621.0000","81.3200","81.9400","80.5000"
"2018/05/23","81.3000","1244882.0000","81.1800","81.3400","80.0000"
"2018/05/22","80.7800","1061182.0000","81.5700","82.2900","80.6300"
"2018/05/21","81.1500","1338756.0000","80.4700","81.8300","79.8100"
"2018/05/18","79.5900","1724451.0000","80.0200","80.1500","78.7500"
"2018/05/17","80.6100","686415.0000","79.1650","81.1900","79.1650"
"2018/05/16","81.0500","1080493.0000","80.3800","81.2400","80.2000"
"2018/05/15","80.1000","1158804.0000","81.1300","81.2600","79.4600"
"2018/05/14","81.6700","1202330.0000","82.3300","83.4200","81.0450"
"2018/05/11","81.6400","854165.0000","81.2600","82.0900","81.2600"
"2018/05/10","81.9900","1138674.0000","80.7900","82.0500","80.0000"
"2018/05/09","80.2100","1249006.0000","79.9400","80.8600","79.5000"
"2018/05/08","79.8900","1686958.0000","79.2000","80.4200","78.8798"
"2018/05/07","79.6400","2451787.0000","79.8300","81.4100","79.1600"
"2018/05/04","79.4900","1761248.0000","76.1900","79.5400","75.8400"
"2018/05/03","76.7300","3968412.0000","74.0300","77.7500","70.7800"
"2018/05/02","74.2400","3777525.0000","72.0000","74.6900","71.8600"
"2018/05/01","71.8000","2419982.0000","68.6500","72.4600","68.3400"
"2018/04/30","67.4000","2140126.0000","67.3400","68.4400","66.3000"
